actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
-3.87,0,0,TRUE,24/01/2024,0,600,5,M1,5.71,8,FingerTrap,1168115707,0,1.5,20,USDCAD-T,50,47:00.4,3,M5,0.08,FALSE
-3.87,0,0,TRUE,24/01/2024,0,600,5,M1,7.61,8,FingerTrap,1168115709,0,2,20,USDCAD-T,50,47:00.5,3,M5,0.08,FALSE
-3.85,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168115979,0,2.5,20,NZDUSD-T,50,50:00.6,3,M5,0.05,FALSE
-3.85,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168115985,0,1.5,20,NZDUSD-T,50,50:00.7,3,M5,0.05,FALSE
-3.85,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168115988,0,2,20,NZDUSD-T,50,50:00.8,3,M5,0.05,FALSE
-3.91,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168117188,0,2.5,20,USDJPY-T,50,05:00.5,3,M5,0.18,FALSE
-3.91,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168117190,0,1.5,20,USDJPY-T,50,05:00.6,3,M5,0.18,FALSE
-3.91,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168117191,0,2,20,USDJPY-T,50,05:00.7,3,M5,0.18,FALSE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168117702,0,2.5,20,AUDUSD-T,50,13:00.5,3,M5,0.1,FALSE
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168117700,0,2.5,20,NZDUSD-T,50,13:00.4,3,M5,0.05,FALSE
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168117703,0,1.5,20,NZDUSD-T,50,13:00.5,3,M5,0.05,FALSE
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168117706,0,2,20,NZDUSD-T,50,13:00.7,3,M5,0.05,FALSE
