actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,532229.17,532193.65,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764819005,2880,M15,30.0,8,Momentum,3850118616,532193.65,9,16,15,Volatility 25 (1s) Index,720,14:00:04.325270,2,H4,0.005,False
0,191452.19,191427.22,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764819156,2880,M15,30.0,8,Momentum,3850118763,191452.19,9,16,15,Volatility 50 (1s) Index,720,14:00:05.184324,2,H4,0.005,False
0,1503.43,1503.0,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764819171,2880,M15,30.0,8,Momentum,3850118777,1503.0,9,16,15,Volatility 100 (1s) Index,720,14:00:06.309311,2,H4,0.2,False
0,224654.75,224601.06,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764952753,2880,M15,30.0,8,Momentum,3850258794,224601.06,9,16,15,Volatility 75 Index,720,15:45:02.143834,2,H4,0.001,False
0,223911.46,223857.77,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764970720,2880,M15,30.0,8,Momentum,3850277678,223911.46,9,16,15,Volatility 75 Index,720,16:00:02.226740,2,H4,0.001,False
0,6605.987,6605.814,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765021420,2880,M15,30.0,8,Momentum,3850331352,6605.987,9,16,15,Volatility 10 Index,720,16:45:02.135098,2,H4,0.5,False
0,190045.6,190020.63,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765098892,2880,M15,30.0,8,Momentum,3850411468,190045.6,9,16,15,Volatility 50 (1s) Index,720,17:45:01.151417,2,H4,0.005,False
0,531269.16,531233.64,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765157454,2880,M15,30.0,8,Momentum,3850472560,531233.64,9,16,15,Volatility 25 (1s) Index,720,18:30:01.172115,2,H4,0.005,False
0,6586.85,6586.677,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765299660,2880,M15,30.0,8,Momentum,3850617769,6586.85,9,16,15,Volatility 10 Index,720,20:30:02.225802,2,H4,0.5,False
0,188535.07,188510.1,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765346344,2880,M15,30.0,8,Momentum,3850665235,188535.07,9,16,15,Volatility 50 (1s) Index,720,21:15:01.198044,2,H4,0.005,False
0,2316.137,2315.984,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765406522,2880,M15,30.0,8,Momentum,3850726718,2316.137,9,16,15,Volatility 25 Index,720,22:15:02.153857,2,H4,0.5,False
0,534790.93,534755.41,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765406560,2880,M15,30.0,8,Momentum,3850726775,534755.41,9,16,15,Volatility 25 (1s) Index,720,22:15:03.153820,2,H4,0.005,False
0,222827.71,222774.02,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3765445453,2880,M15,30.0,8,Momentum,3850767700,222774.02,9,16,15,Volatility 75 Index,720,23:00:02.201757,2,H4,0.001,False
